"id","label","type","factor_level_label","factor_label","species","variety","accession","germplasm_label"
"http://opensilex.test/id/scientific-object/so-sp004051","SP004051","Plant","VD","Viral Disease","sweetpotato","NA","NA","Huachano"
"http://opensilex.test/id/scientific-object/so-sp004052","SP004052","Plant","VD","Viral Disease","sweetpotato","NA","NA","Huachano"
"http://opensilex.test/id/scientific-object/so-sp004053","SP004053","Plant","SPFMV","Viral Disease","sweetpotato","NA","NA","Huachano-R3"
"http://opensilex.test/id/scientific-object/so-sp004054","SP004054","Plant","SPFMV","Viral Disease","sweetpotato","NA","NA","Huachano-R3"
"http://opensilex.test/id/scientific-object/so-sp004055","SP004055","Plant","SPFMV","Viral Disease","sweetpotato","NA","NA","Huachano-R3"
"http://opensilex.test/id/scientific-object/so-sp004056","SP004056","Plant","SPFMV","Viral Disease","sweetpotato","NA","NA","Huachano-R3"
"http://opensilex.test/id/scientific-object/so-sp004057","SP004057","Plant","SPFMV","Viral Disease","sweetpotato","NA","NA","Huachano-R3"
"http://opensilex.test/id/scientific-object/so-sp004058","SP004058","Plant","SPFMV","Viral Disease","sweetpotato","NA","NA","Huachano-R3"
"http://opensilex.test/id/scientific-object/so-sp004059","SP004059","Plant","SPFMV","Viral Disease","sweetpotato","NA","NA","Huachano-R3"
"http://opensilex.test/id/scientific-object/so-sp004060","SP004060","Plant","SPFMV","Viral Disease","sweetpotato","NA","NA","Huachano-R3"
"http://opensilex.test/id/scientific-object/so-sp004061","SP004061","Plant","SPFMV","Viral Disease","sweetpotato","NA","NA","Huachano-R3"
"http://opensilex.test/id/scientific-object/so-sp004062","SP004062","Plant","SPFMV","Viral Disease","sweetpotato","NA","NA","Huachano-R3"
